source,target,relation,trade_volume_usd_m
N0000,N0045,sources_from,41.12
N0000,N0040,sources_from,43.63
N0001,N0004,sources_from,33.17
N0002,N0043,sources_from,43.29
N0002,N0036,sources_from,48.36
N0003,N0045,sources_from,25.72
N0003,N0083,sources_from,34.14
N0004,N0043,sources_from,43.91
N0004,N0003,sources_from,13.43
N0004,N0015,sources_from,29.24
N0005,N0004,sources_from,30.03
N0005,N0014,sources_from,17.61
N0006,N0056,sources_from,49.22
N0006,N0078,sources_from,6.22
N0007,N0025,sources_from,35.58
N0007,N0033,sources_from,0.58
N0007,N0005,sources_from,46.32
N0008,N0088,sources_from,36.98
N0008,N0093,sources_from,10.25
N0008,N0095,sources_from,21.85
N0009,N0118,sources_from,16.04
N0009,N0043,sources_from,42.48
N0009,N0080,sources_from,36.13
N0010,N0065,sources_from,33.51
N0010,N0040,sources_from,16.65
N0011,N0038,sources_from,10.0
N0011,N0071,sources_from,33.41
N0011,N0017,sources_from,19.27
N0012,N0116,sources_from,28.67
N0012,N0023,sources_from,20.6
N0012,N0079,sources_from,41.77
N0013,N0037,sources_from,21.78
N0013,N0027,sources_from,29.21
N0014,N0042,sources_from,22.39
N0014,N0060,sources_from,11.08
N0014,N0057,sources_from,23.92
N0015,N0022,sources_from,14.55
N0015,N0085,sources_from,33.36
N0015,N0010,sources_from,31.15
N0016,N0105,sources_from,47.62
N0017,N0087,sources_from,15.87
N0018,N0019,sources_from,1.71
N0019,N0061,sources_from,30.76
N0020,N0059,sources_from,21.01
N0021,N0074,sources_from,34.97
N0021,N0025,sources_from,24.97
N0021,N0092,sources_from,12.58
N0022,N0089,sources_from,37.67
N0022,N0000,sources_from,38.62
N0022,N0115,sources_from,5.78
N0023,N0029,sources_from,40.3
N0023,N0022,sources_from,34.95
N0024,N0006,sources_from,12.84
N0024,N0072,sources_from,42.49
N0025,N0017,sources_from,23.5
N0025,N0103,sources_from,26.79
N0026,N0077,sources_from,44.63
N0026,N0041,sources_from,30.83
N0026,N0097,sources_from,36.1
N0027,N0055,sources_from,27.62
N0027,N0107,sources_from,44.91
N0027,N0117,sources_from,37.31
N0028,N0058,sources_from,37.71
N0028,N0034,sources_from,42.07
N0029,N0099,sources_from,26.3
N0029,N0100,sources_from,31.52
N0030,N0057,sources_from,35.82
N0030,N0009,sources_from,12.11
N0031,N0041,sources_from,27.24
N0031,N0115,sources_from,7.35
N0032,N0050,sources_from,34.85
N0033,N0027,sources_from,20.68
N0033,N0008,sources_from,27.36
N0033,N0054,sources_from,21.08
N0034,N0107,sources_from,21.3
N0035,N0090,sources_from,44.09
N0035,N0002,sources_from,29.0
N0035,N0110,sources_from,24.11
N0036,N0039,sources_from,19.8
N0036,N0097,sources_from,44.64
N0037,N0069,sources_from,36.86
N0037,N0096,sources_from,40.09
N0038,N0063,sources_from,11.36
N0039,N0063,sources_from,19.75
N0039,N0003,sources_from,33.61
N0040,N0093,sources_from,42.11
N0040,N0021,sources_from,46.02
N0041,N0069,sources_from,20.0
N0041,N0003,sources_from,28.44
N0041,N0117,sources_from,1.84
N0042,N0055,sources_from,23.35
N0042,N0017,sources_from,2.99
N0042,N0111,sources_from,19.27
N0043,N0059,sources_from,16.68
N0044,N0035,sources_from,47.58
N0044,N0097,sources_from,21.37
N0045,N0061,sources_from,1.46
N0046,N0006,sources_from,32.68
N0046,N0044,sources_from,39.17
N0046,N0028,sources_from,32.76
