node_id,name,country,industry,tier,criticality_score
N0000,Orion Industries,China,Electronics,1,0.767
N0001,Vertex Trading Ltd.,Germany,Pharma,1,0.226
N0002,Nimbus Manufacturing,China,Automotive,1,0.631
N0003,Atlas Foundry,USA,Electronics,1,0.184
N0004,Kestrel Materials,Germany,Electronics,1,0.605
N0005,Solace Chemicals Inc.,Mexico,Logistics,1,0.298
N0006,Ferrovia Components,Netherlands,Agrifood,1,0.828
N0007,Brightloom Group,USA,Textiles,1,0.728
N0008,Cascadia Systems,Brazil,Agrifood,1,0.24
N0009,Ironclad Logistics Co.,Brazil,Automotive,1,0.183
N0010,Meridian Textiles Ltd.,China,Semiconductors,1,0.863
N0011,Solstice Holdings,Netherlands,Agrifood,1,0.826
N0012,Quantum Industries,South Korea,Automotive,1,0.976
N0013,Harbor Trading Ltd.,Japan,Automotive,1,0.597
N0014,Evergreen Manufacturing,Netherlands,Semiconductors,1,0.62
N0015,Zenith Foundry,China,Electronics,1,0.695
N0016,Palisade Materials,Vietnam,Automotive,1,0.87
N0017,Northstar Chemicals Inc.,China,Logistics,1,0.35
N0018,Tundra Components,Brazil,Textiles,1,0.433
N0019,Beacon Group,Germany,Agrifood,1,0.732
N0020,Orion Systems,China,Textiles,1,0.581
N0021,Vertex Logistics Co.,Germany,Textiles,1,0.516
N0022,Nimbus Textiles Ltd.,Vietnam,Pharma,1,0.716
N0023,Atlas Holdings,USA,Pharma,1,0.84
N0024,Kestrel Industries,Brazil,Logistics,1,0.341
N0025,Solace Trading Ltd.,Germany,Semiconductors,1,0.291
N0026,Ferrovia Manufacturing,South Korea,Logistics,1,0.896
N0027,Brightloom Foundry,South Korea,Textiles,1,0.338
N0028,Cascadia Materials,Germany,Agrifood,1,0.772
N0029,Ironclad Chemicals Inc.,Japan,Logistics,1,0.426
N0030,Meridian Components,India,Chemicals,1,0.182
N0031,Solstice Group,USA,Automotive,1,0.238
N0032,Quantum Systems,India,Logistics,1,0.637
N0033,Harbor Logistics Co.,Japan,Logistics,1,0.636
